Designator,Mid X,Mid Y,Rotation,Layer
C1,65.0,-35.0,0.0,top
D1,47.5,-22.5,225.0,top
D10,52.5,-27.5,45.0,top
D11,57.5,-27.5,135.0,top
D12,62.5,-27.5,45.0,top
D13,67.5,-27.5,135.0,top
D14,72.5,-27.5,45.0,top
D15,77.5,-27.5,135.0,top
D16,82.5,-27.5,45.0,top
D17,47.5,-32.5,225.0,top
D18,52.5,-32.5,315.0,top
D19,57.5,-32.5,225.0,top
D2,52.5,-22.5,315.0,top
D20,62.5,-32.5,315.0,top
D21,67.5,-32.5,225.0,top
D22,72.5,-32.5,315.0,top
D23,77.5,-32.5,225.0,top
D24,82.5,-32.5,315.0,top
D25,47.5,-37.5,135.0,top
D26,52.5,-37.5,45.0,top
D27,57.5,-37.5,135.0,top
D28,62.5,-37.5,45.0,top
D29,67.5,-37.5,135.0,top
D3,57.5,-22.5,225.0,top
D30,72.5,-37.5,45.0,top
D31,77.5,-37.5,135.0,top
D32,82.5,-37.5,45.0,top
D33,47.5,-42.5,225.0,top
D34,52.5,-42.5,315.0,top
D35,57.5,-42.5,225.0,top
D36,62.5,-42.5,315.0,top
D37,67.5,-42.5,225.0,top
D38,72.5,-42.5,315.0,top
D39,77.5,-42.5,225.0,top
D4,62.5,-22.5,315.0,top
D40,82.5,-42.5,315.0,top
D41,47.5,-47.5,135.0,top
D42,52.5,-47.5,45.0,top
D43,57.5,-47.5,135.0,top
D44,62.5,-47.5,45.0,top
D45,67.5,-47.5,135.0,top
D46,72.5,-47.5,45.0,top
D47,77.5,-47.5,135.0,top
D48,82.5,-47.5,45.0,top
D49,47.5,-52.5,225.0,top
D5,67.5,-22.5,225.0,top
D50,52.5,-52.5,315.0,top
D51,57.5,-52.5,225.0,top
D52,62.5,-52.5,315.0,top
D53,67.5,-52.5,225.0,top
D54,72.5,-52.5,315.0,top
D55,77.5,-52.5,225.0,top
D56,82.5,-52.5,315.0,top
D57,47.5,-57.5,135.0,top
D58,52.5,-57.5,45.0,top
D59,57.5,-57.5,135.0,top
D6,72.5,-22.5,315.0,top
D60,62.5,-57.5,45.0,top
D61,67.5,-57.5,135.0,top
D62,72.5,-57.5,45.0,top
D63,77.5,-57.5,135.0,top
D64,82.5,-57.5,45.0,top
D7,77.5,-22.5,225.0,top
D8,82.5,-22.5,315.0,top
D9,47.5,-27.5,135.0,top
R1,61.0,-24.0,135.0,top
R2,59.0,-26.0,315.0,top
R3,51.0,-34.0,135.0,top
R4,49.0,-36.0,315.0,top
R5,49.0,-44.0,45.0,top
R6,51.0,-46.0,225.0,top
R7,59.0,-54.0,45.0,top
R8,61.0,-56.0,225.0,top
U1,65.0,-40.0,225.0,top
